company,year,quarter,metric,sub-metric,value
TSMC,2020,4,inv,,4805.254687937308
TSMC,2021,1,inv,,5520.074283061319
TSMC,2021,2,inv,,6120.760611937083
TSMC,2021,3,inv,,6524.661654135338
TSMC,2021,4,inv,,6940.633311767666
TSMC,2001,1,capex,,600.2259362426493
TSMC,2001,2,capex,,589.6412283368804
TSMC,2001,3,capex,,452.0115107913669
TSMC,2001,4,capex,,455.2869565217391
TSMC,2003,4,capex,,377.2472737989979
TSMC,2004,4,capex,,612.9466287935417
TSMC,2005,1,capex,,1308.2375177193258
TSMC,2005,2,capex,,455.8066581306018
TSMC,2005,3,capex,,329.1810480075306
TSMC,2005,4,capex,,405.88638531235097
TSMC,2006,1,capex,,359.90119133235356
TSMC,2006,2,capex,,670.4560413728256
TSMC,2006,3,capex,,862.8901239846087
TSMC,2006,4,capex,,529.923134890731
TSMC,2007,1,capex,,423.92565371883256
TSMC,2007,2,capex,,760.736583023172
TSMC,2007,3,capex,,759.4531988173977
TSMC,2007,4,capex,,610.6158357771261
TSMC,2008,1,capex,,476.0795896160423
TSMC,2008,2,capex,,732.2506410677888
TSMC,2008,3,capex,,338.81688485521204
TSMC,2008,4,capex,,341.2945278156738
TSMC,2009,1,capex,,166.42962962962963
TSMC,2009,2,capex,,224.12875925646063
TSMC,2009,3,capex,,976.4736360865588
TSMC,2009,4,capex,,1308.4545872262213
TSMC,2010,1,capex,,1443.322383857344
TSMC,2010,2,capex,,1683.0550678371908
TSMC,2010,3,capex,,1319.2738654147106
TSMC,2010,4,capex,,1501.173202614379
TSMC,2011,1,capex,,2799.255942128832
TSMC,2011,2,capex,,2263.010115102895
TSMC,2011,3,capex,,1317.9147904399028
TSMC,2011,4,capex,,994.7043100567992
TSMC,2012,1,capex,,1640.067533344589
TSMC,2012,2,capex,,2041.4521112255406
TSMC,2012,3,capex,,2616.440094859548
TSMC,2012,4,capex,,2046.7705479452054
TSMC,2013,1,capex,,2723.2814087368774
TSMC,2013,2,capex,,2659.9850715885186
TSMC,2013,3,capex,,1828.2841420710356
TSMC,2013,4,capex,,2513.759347382733
TSMC,2014,1,capex,,3789.7526385224273
TSMC,2014,2,capex,,2432.106135986733
TSMC,2014,3,capex,,1592.9239162979472
TSMC,2014,4,capex,,1722.806441012159
TSMC,2015,1,capex,,1540.3624330286793
TSMC,2015,2,capex,,1758.0529238810846
TSMC,2015,3,capex,,2221.8475444030087
TSMC,2015,4,capex,,2605.7742701236243
TSMC,2016,1,capex,,1139.1273183406506
TSMC,2016,2,capex,,2279.1829275847113
TSMC,2016,3,capex,,3261.5343516248663
TSMC,2016,4,capex,,3570.8601707015264
TSMC,2017,1,capex,,3289.4422694307173
TSMC,2017,2,capex,,3488.029313260603
TSMC,2017,3,capex,,2043.5809132752738
TSMC,2017,4,capex,,2028.9888236659704
TSMC,2018,1,capex,,2463.811254758067
TSMC,2018,2,capex,,2014.6912871755053
TSMC,2018,3,capex,,2288.294948966239
TSMC,2018,4,capex,,3688.894995473943
TSMC,2019,1,capex,,2474.6513295099066
TSMC,2019,2,capex,,3766.3127569352278
TSMC,2019,3,capex,,3149.444694100276
