year,quarter,url
2014,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2014/Q3_2014/UMC14Q3_report.pdf
2014,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2014/Q4_2014/UMC14Q4_report.pdf
2015,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2015/Q2_2015/UMC15Q2_report.pdf
2015,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2015/Q3_2015/UMC15Q3_report.pdf
2015,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2015/Q4_2015/UMC15Q4_report.pdf
2016,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2016/Q2_2016/UMC16Q2_report.pdf
2016,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2016/Q3_2016/UMC16Q3_report.pdf
2016,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2016/Q4_2016/UMC16Q4_report.pdf
2017,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2017/Q2_2017/UMC17Q2_report.pdf
2017,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2017/Q3_2017/UMC17Q3_report.pdf
2017,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2017/Q4_2017/UMC17Q4_report.pdf
2018,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2018/Q2_2018/UMC18Q2_report.pdf
2018,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2018/Q3_2018/UMC18Q3_report.pdf
2018,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2018/Q4_2018/UMC18Q4_report.pdf
2019,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2019/Q2_2019/UMC19Q2_report.pdf
2019,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2019/Q3_2019/UMC19Q3_report.pdf
2019,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2019/Q4_2019/UMC19Q4_report.pdf
2020,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2020-2029_English_pdf/2020/Q2_2020/UMC20Q2_report.pdf
2020,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2020-2029_English_pdf/2020/Q3_2020/UMC20Q3_report.pdf
2020,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2020-2029_English_pdf/2020/Q4_2020/UMC20Q4_report.pdf
2021,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2020-2029_English_pdf/2021/Q2_2021/UMC21Q2_report.pdf
2021,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2020-2029_English_pdf/2021/Q3_2021/UMC21Q3_report.pdf
2021,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2020-2029_English_pdf/2021/Q4_2021/UMC21Q4_report.pdf
