company,year,quarter,metric,sub-metric,value
UMC,2021,2,rev_tech,14nm<x<=28nm,20
UMC,2021,2,rev_tech,28nm<x<=40nm,18
UMC,2021,2,rev_tech,40nm<x<=65nm,19
UMC,2021,2,rev_tech,65nm<x<=90nm,9
UMC,2021,2,rev_tech,90nm<x<=0.13um,11
UMC,2021,2,rev_tech,0.13um<x<=0.18um,13
UMC,2021,2,rev_tech,0.18um<x<=0.35um,8
UMC,2021,2,rev_tech,0.5um and above,2
UMC,2021,3,rev_geo,NORAM,22
UMC,2021,3,rev_geo,ASIAPAC,65
UMC,2021,3,rev_geo,Europe,7
UMC,2021,3,rev_geo,Japan,6
UMC,2021,3,rev_tech,14nm and below,0
UMC,2021,3,rev_tech,14nm<x<=28nm,19
UMC,2021,3,rev_tech,28nm<x<=40nm,18
UMC,2021,3,rev_tech,40nm<x<=65nm,19
UMC,2021,3,rev_tech,65nm<x<=90nm,8
UMC,2021,3,rev_tech,90nm<x<=0.13um,12
UMC,2021,3,rev_tech,0.13um<x<=0.18um,13
UMC,2021,3,rev_tech,0.18um<x<=0.35um,8
UMC,2021,3,rev_tech,0.5um and above,3
UMC,2021,4,rev_geo,NORAM,21
UMC,2021,4,rev_geo,ASIAPAC,66
UMC,2021,4,rev_geo,Europe,7
UMC,2021,4,rev_geo,Japan,6
UMC,2021,4,rev_tech,14nm and below,0
UMC,2021,4,rev_tech,14nm<x<=28nm,20
UMC,2021,4,rev_tech,28nm<x<=40nm,18
UMC,2021,4,rev_tech,40nm<x<=65nm,19
UMC,2021,4,rev_tech,65nm<x<=90nm,8
UMC,2021,4,rev_tech,90nm<x<=0.13um,12
UMC,2021,4,rev_tech,0.13um<x<=0.18um,13
UMC,2021,4,rev_tech,0.18um<x<=0.35um,7
UMC,2021,4,rev_tech,0.5um and above,3
UMC,2001,1,rev_geo,NORAM,45
UMC,2001,1,rev_geo,ASIAPAC,34
UMC,2001,1,rev_geo,Europe,19
UMC,2001,1,rev_geo,Japan,2
UMC,2003,2,rev_geo,NORAM,35
UMC,2003,2,rev_geo,ASIAPAC,50
UMC,2003,2,rev_geo,Europe,11
UMC,2003,2,rev_geo,Japan,4
UMC,2003,3,rev_geo,NORAM,43
UMC,2003,3,rev_geo,ASIAPAC,34
UMC,2003,3,rev_geo,Europe,20
UMC,2003,3,rev_geo,Japan,3
UMC,2003,4,rev_geo,NORAM,41
UMC,2003,4,rev_geo,ASIAPAC,41
UMC,2003,4,rev_geo,Europe,15
UMC,2003,4,rev_geo,Japan,3
TSMC,2009,1,rev_geo,NORAM,68
TSMC,2009,1,rev_geo,China,3
TSMC,2009,1,rev_geo,EMEA,12
TSMC,2009,1,rev_geo,ASIAPAC,14
TSMC,2009,1,rev_geo,Japan,3
TSMC,2009,1,rev_tech,45/40nm,1
TSMC,2009,1,rev_tech,65nm,23
TSMC,2009,1,rev_tech,90nm,25
TSMC,2009,1,rev_tech,0.11/0.13um,16
TSMC,2009,1,rev_tech,0.15/0.18um,21
TSMC,2009,1,rev_tech,0.25/0.35um,11
TSMC,2009,1,rev_tech,0.50um+,3
TSMC,2009,2,rev_geo,NORAM,65
TSMC,2009,2,rev_geo,China,3
TSMC,2009,2,rev_geo,EMEA,11
TSMC,2009,2,rev_geo,ASIAPAC,18
TSMC,2009,2,rev_geo,Japan,3
TSMC,2009,2,rev_tech,45/40nm,1
TSMC,2009,2,rev_tech,65nm,28
TSMC,2009,2,rev_tech,90nm,23
TSMC,2009,2,rev_tech,0.11/0.13um,13
TSMC,2009,2,rev_tech,0.15/0.18um,23
TSMC,2009,2,rev_tech,0.25/0.35um,9
TSMC,2009,2,rev_tech,0.50um+,3
TSMC,2009,3,rev_geo,NORAM,70
TSMC,2009,3,rev_geo,China,3
TSMC,2009,3,rev_geo,EMEA,11
TSMC,2009,3,rev_geo,ASIAPAC,13
TSMC,2009,3,rev_geo,Japan,3
